"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0.002,0.135,0,0,0,0.34,0.522
"2",0,0,0.106,0,0.143,0,0,0,0.299,0.452
"3",0,0,0.095,0,0.119,0,0,0,0.308,0.478
"4",0,0.145,0.002,0.154,0.055,0,0,0,0.555,0.089
"5",0,0,0,0.248,0,0,0,0,0.673,0.079
"6",0,0.019,0.025,0.001,0.004,0.003,0.005,0.034,0.8,0.109
"7",0,0.003,0,0.142,0.001,0,0,0,0.738,0.116
"8",0,0,0.203,0,0,0,0,0,0.728,0.069
"9",0,0,0.159,0,0,0,0,0,0.768,0.073
"10",0,0.001,0.227,0,0,0,0,0,0.699,0.073
"11",0,0,0.109,0.029,0,0,0,0,0.55,0.313
"12",0,0,0.101,0,0,0,0,0,0.604,0.295
"13",0.004,0.012,0.034,0.172,0.002,0,0,0,0.489,0.287
"14",0,0,0,0.029,0,0,0,0,0.524,0.447
"15",0,0,0.067,0.022,0,0,0,0,0.579,0.331
"16",0,0,0.039,0,0.028,0,0,0,0.575,0.357
"17",0.003,0.008,0.001,0.027,0,0,0,0,0.518,0.443
"18",0.018,0,0.005,0.161,0,0,0,0,0.716,0.099
"19",0,0,0.001,0.15,0.053,0,0,0,0.676,0.12
"20",0.027,0.003,0,0.075,0.187,0,0,0,0.61,0.098
"21",0.002,0.009,0.087,0.001,0,0,0,0,0.823,0.078
"22",0,0,0.245,0,0,0,0,0,0.688,0.066
"23",0,0,0.116,0.022,0,0,0,0,0.394,0.468
"24",0,0,0.079,0.094,0,0,0,0,0.401,0.426
"25",0,0,0,0,0.101,0.001,0,0,0.776,0.123
"26",0,0,0.008,0.056,0,0,0,0,0.444,0.491
"27",0,0,0,0.09,0,0,0,0,0.514,0.397
"28",0,0.005,0.081,0.077,0.001,0,0,0,0.413,0.423
"29",0,0,0.153,0,0,0.079,0,0,0.257,0.512
"30",0,0.007,0.036,0.164,0.001,0.033,0,0,0.278,0.481
"31",0,0.023,0.152,0,0,0.071,0,0,0.263,0.49
"32",0,0,0,0,0.237,0,0,0,0.477,0.286
"33",0,0.012,0,0,0.178,0.09,0.001,0,0.418,0.301
"34",0,0,0.034,0.002,0.15,0.057,0,0,0.458,0.299
"35",0,0,0.135,0.093,0.073,0.05,0,0,0.215,0.433
"36",0,0.101,0.072,0.021,0.089,0.035,0.025,0,0.248,0.409
"37",0,0,0.163,0,0.136,0,0,0,0.272,0.428
"38",0,0.06,0.004,0.008,0.262,0.141,0.186,0.059,0.092,0.188
"39",0,0,0,0.189,0.105,0,0.393,0,0.103,0.21
"40",0,0,0,0,0.187,0.285,0.225,0.003,0.107,0.193
"41",0,0,0.03,0,0.123,0,0,0,0.475,0.372
"42",0,0.039,0.001,0.028,0.091,0,0,0,0.489,0.351
"43",0,0,0,0.103,0.032,0,0,0,0.488,0.377
"44",0,0,0,0.084,0.134,0,0,0,0.502,0.281
"45",0,0,0,0.109,0.086,0,0,0,0.55,0.255
"46",0.002,0.01,0,0.139,0.001,0,0,0,0.539,0.309
"47",0,0.036,0,0.158,0.092,0,0,0,0.464,0.251
"48",0,0,0.075,0.041,0.208,0,0,0,0.438,0.238
"49",0,0,0.056,0.053,0.19,0.009,0,0,0.464,0.229
"50",0.001,0.002,0.007,0.08,0.053,0.031,0,0,0.343,0.483
"51",0,0,0.038,0,0.113,0.032,0,0,0.318,0.498
"52",0,0,0,0.12,0.068,0,0,0,0.331,0.482
