Population,ID
4,72336_12_S142
4,72336_19_S144
4,72808_3_S145
2,ARB11-25-11_S188
2,ARB11-37-22_S187
2,ARB12-68-20_S181
2,ARB12-68-40_S182
2,ARB17-015-51_004_S189
2,ARB17-015-51_005_S190
2,CAS175009_S168
5,CAS203394_S173
5,CAS206093_S178
5,CAS209370_S172
5,CAS209668_S175
5,CAS227259_S177
5,CAS227639_S170
5,CAS227640_S179
2,KLB12-79-56_S183
2,KLB12-79-64_S184
2,LG12-68-27_S185
2,LG12-68-32_S186
2,LG13-80-1_S180
5,MVZ149008_S165
5,MVZ197553_S166
2,MVZ230140_S157
5,MVZ240827_S160
5,MVZ240831_S161
5,MVZ250051_S162
4,RASI1_S191
4,RASI3_S193
4,RASI5_S195
1,RKS26100_S100
1,RKS26103_S104
1,RKS26110_S101
4,RKS26631_S119
4,RKS26633_S120
4,RKS26636_S118
1,RKS27726_S111
1,RKS27733_S110
1,RKS27740_S107
1,RKS27762_S149
1,RKS27820_S148
1,RKS27823_S150
3,RKS27891_S141
3,RKS27903_S138
3,RKS27906_S140
3,RKS27920_S131
3,RKS27923_S134
3,RKS27927_S135
4,RKS72996_15_S116
4,RKS72996_3_S117
4,RKS72996_7_S115
