name,date,latitude,longitude,county,site_id,site_id_broad,stage,elevation,sample_type,status
72336_12_S142,,37.889971,-119.3946434,,Unicorn,,,,,persistent
72336_15_S143,,37.889971,-119.3946434,,Unicorn,,,,,persistent
72336_19_S144,,37.889971,-119.3946434,,Unicorn,,,,,persistent
72808_1_S147,,37.889971,-119.3946434,,Unicorn,,,,,persistent
72808_3_S145,,37.889971,-119.3946434,,Unicorn,,,,,persistent
72808_8_S146,,37.889971,-119.3946434,,Unicorn,,,,,persistent
ARB11-25-11_S188,7-Jul-11,34.31676835,-117.8527752,Los Angeles,Little Rock Creek,Southern,Adult,NA,tissue,
ARB11-37-22_S187,25-Aug-11,34.31676835,-117.8527752,Los Angeles,Little Rock Creek,Southern,Adult,NA,tissue,
ARB12-68-20_S181,3-Jul-12,34.33841071,-117.8427814,Los Angeles,South Fork Big Rock Creek,Southern,NA,NA,tissue,
ARB12-68-40_S182,3-Jul-12,34.33841071,-117.8427814,Los Angeles,South Fork Big Rock Creek,Southern,Adult,NA,tissue,
ARB17-015-51_004_S189,26-Sep-17,34.27076951,-117.2448971,San Bernardino,East Fork City Creek,Southern,Metamorph,NA,tissue,
ARB17-015-51_005_S190,26-Sep-17,34.27076951,-117.2448971,San Bernardino,East Fork City Creek,Southern,Metamorph,NA,tissue,
CAS175008_S169,28-Jun-90,33.88671923,-116.8004226,Riverside,Fuller Mill Creek,Southern,Adult,NA,tissue,
CAS175009_S168,29-Jun-90,33.88671923,-116.8004226,Riverside,Fuller Mill Creek,Southern,Adult,NA,tissue,
CAS175010_S174,29-Jun-90,33.88671923,-116.8004226,Riverside,Fuller Mill Creek,Southern,Adult,NA,tissue,
CAS203394_S173,22-Aug-97,39.48892209,-120.2500199,Sierra,Sierra,Sierra,Juv,6440,tissue,
CAS206093_S178,5-Aug-98,39.90555824,-120.9507769,Plumas,Plumas,Plumas,Adult,5180,tissue,
CAS209370_S172,22-Aug-99,39.80743097,-121.2809223,Plumas,Plumas,Plumas,Juv,5760,tissue,
CAS209404_S171,23-Aug-99,40.01142833,-121.1402847,Plumas,Plumas,Plumas,Juv,6240,tissue,
CAS209668_S175,21-Jul-99,39.68303645,-120.8850742,Plumas,Plumas,Plumas,Adult,5400,tissue,
CAS227259_S177,7-Aug-03,39.98744169,-121.1524761,Plumas,Plumas,Plumas,Adult,5920,tissue,
CAS227639_S170,27-Aug-03,40.12188633,-120.6386418,Plumas,Plumas,Plumas,Adult,5120,tissue,
CAS227640_S179,27-Aug-03,40.31340272,-120.5414753,Plumas,Plumas,Plumas,Adult,5994,tissue,
CAS245562_S176,15-Aug-04,38.79628221,-120.1439783,El Dorado,El Dorardo,Plumas,NA,8040,tissue,
KLB12-79-56_S183,28-Aug-12,34.33617683,-117.925911,Los Angeles,"Devil's Canyon, ANF",Southern,Adult,NA,tissue,
KLB12-79-64_S184,28-Aug-12,34.41541476,-117.8950959,Los Angeles,"Devil's Canyon, ANF",Southern,Adult,NA,tissue,
LG12-68-27_S185,3-Jul-12,33.89887544,-116.8170973,Riverside,Dark Canyon,Southern,Adult,NA,tissue,
LG12-68-32_S186,3-Jul-12,33.73818766,-116.7490371,Riverside,Dark Canyon,Southern,Adult,NA,tissue,
LG13-80-1_S180,15-Aug-13,33.72851901,-116.6433403,Riverside,Fuller Mill Creek,Southern,Juvenile,NA,tissue,
MVZ149008_S165,29-Jun-74,38.28715717,-119.5981282,NA,Emigrant,Emigrant,NA,NA,tissue,
MVZ180160_S164,1-Aug-81,38.61233316,-119.7294381,NA,Emigrant,Emigrant,NA,NA,tissue,
