Sample_ID,Original Order,Group,NewOrder,DAPC_K2,DAPC_K3,DAPC_K4,DAPC_K5,K5_group_named,NROH,SROH_Mb,het_snps
CAS227640_S179,17,Plumas,1,1,1,3,5,Northern R. sierrae,27,502.228978,0.115446285
CAS209668_S175,14,Plumas,2,1,1,3,5,Northern R. sierrae,40,619.490199,0.110313638
CAS203394_S173,11,Tahoe,3,1,1,3,5,Northern R. sierrae,65,1604.700356,0.077246852
CAS227259_S177,15,Plumas,4,1,1,3,5,Northern R. sierrae,37,946.593523,0.084629013
CAS209370_S172,13,Plumas,5,1,1,3,5,Northern R. sierrae,104,2276.820769,0.074511522
CAS206093_S178,12,Plumas,6,1,1,3,5,Northern R. sierrae,49,1579.787826,0.073291197
CAS227639_S170,16,Plumas,7,1,1,3,5,Northern R. sierrae,37,930.310169,0.092088821
MVZ149008_S165,23,Emigrant,8,1,1,3,5,Northern R. sierrae,81,1549.383923,0.129402886
MVZ250051_S162,28,Yosemite North,9,1,1,3,5,Northern R. sierrae,85,1634.99232,0.119343463
MVZ197553_S166,24,Emigrant,10,1,1,3,5,Northern R. sierrae,93,1657.592077,0.120604631
MVZ240831_S161,27,Yosemite West,11,1,1,3,5,Northern R. sierrae,73,1008.837863,0.109500294
MVZ240827_S160,26,Yosemite West,12,1,1,3,5,Northern R. sierrae,70,982.136625,0.145770735
RKS72996_7_S115,52,Conness Pond,13,1,1,3,4,East Yosemite R. sierrae,140,1595.943921,0.151195091
RKS72996_15_S116,50,Conness Pond,14,1,1,3,4,East Yosemite R. sierrae,133,1585.7633,0.152012696
RKS72996_3_S117,51,Conness Pond,15,1,1,3,4,East Yosemite R. sierrae,178,1615.092457,0.157330027
72808_3_S145,3,Unicorn,16,1,1,3,4,East Yosemite R. sierrae,175,2047.491999,0.151877876
72336_12_S142,1,Unicorn,17,1,1,3,4,East Yosemite R. sierrae,170,1590.595821,0.16176548
72336_19_S144,2,Unicorn,18,1,1,3,4,East Yosemite R. sierrae,198,2383.22538,0.14399093
RKS26636_S118,37,Gallison,19,1,1,3,4,East Yosemite R. sierrae,202,2759.717878,0.138386659
RKS26633_S120,36,Gallison,20,1,1,3,4,East Yosemite R. sierrae,179,2920.973519,0.131686424
RKS26631_S119,35,Gallison,21,1,1,3,4,East Yosemite R. sierrae,197,2708.384417,0.141313307
RASI3_S193,30,Hutchings,22,1,1,3,4,East Yosemite R. sierrae,150,1721.24048,0.153850951
RASI5_S195,31,Hutchings,23,1,1,3,4,East Yosemite R. sierrae,144,2088.048843,0.15478069
RASI1_S191,29,Hutchings,24,1,1,3,4,East Yosemite R. sierrae,165,2115.716687,0.157198312
RKS26100_S100,32,Swamp Lakes,25,1,1,4,1,Southern R. sierrae,189,2237.55505,0.091623837
RKS26103_S104,33,Swamp Lakes,26,1,1,4,1,Southern R. sierrae,208,2395.279981,0.098464125
RKS26110_S101,34,Swamp Lakes,27,1,1,4,1,Southern R. sierrae,140,2062.28813,0.096527735
RKS27762_S149,41,Fourth Recess,28,1,1,4,1,Southern R. sierrae,106,1423.734652,0.109058967
RKS27820_S148,42,Fourth Recess,29,1,1,4,1,Southern R. sierrae,75,1261.517863,0.103556405
RKS27823_S150,43,Fourth Recess,30,1,1,4,1,Southern R. sierrae,85,1317.471692,0.111470261
RKS27726_S111,38,Independence,31,1,1,4,1,Southern R. sierrae,577,5777.53578,0.068947618
RKS27740_S107,40,Independence,32,1,1,4,1,Southern R. sierrae,639,5465.244196,0.071151674
