"","swab_id","site_id","latitude","longitude","date","fluidigm_run","main_locale","genus","species"
"1","RKS1014","1.1",38.08542674,-119.8354889,NA,"F2016","yose","rana","sierrae"
"2","RKS1044","6",38.0645622,-119.4611354,NA,"F2016","yose","rana","sierrae"
"3","RKS1126","2.1",38.08927054,-119.6988511,NA,"F2016","yose","rana","sierrae"
"4","RKS1217","2.2",38.08442208,-119.6548753,NA,"F2016","yose","rana","sierrae"
"5","RKS1293","5",38.06838454,-119.546759,NA,"F2016","yose","rana","sierrae"
"6","RKS17525","7.2",37.98132714,-119.4740217,NA,"F2016","yose","rana","sierrae"
"7","RKS2803","14",37.77750456,-119.3634977,NA,"F2016","yose","rana","sierrae"
"8","RKS5758","16",37.70929962,-119.4333706,NA,"F2016","yose","rana","sierrae"
"9","RKS5940","3",38.1122642,-119.649078,NA,"F2016","yose","rana","sierrae"
"10","RKS8779","18.1",37.62334184,-119.4076522,NA,"F2016","yose","rana","sierrae"
"11","TP40","20",37.67380327,-119.6514642,NA,"F2016","yose","rana","sierrae"
"12","TP60","20.1",37.69157921,-119.6619401,NA,"F2016","yose","rana","sierrae"
"13","TP64","19.5",37.61121808,-119.5762459,NA,"F2016","yose","rana","sierrae"
"14","APR009","SNF",37.084791,-119.187592,NA,"F2019_4","SNF","rana","sierrae"
"15","APR031","Silver_Headwaters",38.38981,-119.613584,"7/5/18","F2019_3","htynf","rana","sierrae"
"16","CDS10009","50178",38.59573142,-119.8868013,"30-Jun-10","F2019_2","cdfw_north","rana","sierrae"
"17","GES10014","14590",38.6685062,-120.0275014,"11-Jul-10","F2019_1","cdfw_north","rana","sierrae"
"18","GES10023","15145",38.51869529,-119.9811496,"15-Jul-10","F2019_1","cdfw_north","rana","sierrae"
"19","GES10026","14607",38.66182973,-119.9728773,"18-Jul-10","F2019_1","cdfw_north","rana","sierrae"
"20","GES10051","14299",38.85073533,-120.1657946,"12-Aug-10","F2019_1","cdfw_north","rana","sierrae"
"21","GES10059","50171",38.50039585,-119.9354065,"14-Aug-10","F2019_2","cdfw_north","rana","sierrae"
"22","GES_10002","51050",38.65865429,-120.0969417,"22-Jun-10","F2019_2","cdfw_north","rana","sierrae"
"23","KGS10001","14738",38.61492224,-119.8954829,"29-Jun-10","F2019_1","cdfw_north","rana","sierrae"
"24","KGS10015","27665",38.67042794,-120.0350295,"19-Jul-10","F2019_1","cdfw_north","rana","sierrae"
"25","MLS10013","13959",38.93249039,-120.2182532,"12-Aug-10","F2019_1","cdfw_north","rana","sierrae"
"26","RKS11995","Observation_Basin",37.024,-118.543,"9/1/10","F2017","seki","rana","sierrae"
"27","RKS12057","Amphitheater_Basin",37.024,-118.503,"8/31/10","F2017","seki","rana","sierrae"
"28","RKS12464","Upper_Kern_Basin",36.691,-118.425,"8/14/11","F2017","seki","rana","muscosa"
"29","RKS13221","Rae_Basin",36.81,-118.412,"8/29/11","F2017","seki","rana","muscosa"
"30","RKS13423","Sixty_Lake_Basin",36.809,-118.419,"8/30/11","F2017","seki","rana","muscosa"
"31","RKS15808","Swamp_Basin",36.893,-118.705,"8/3/13","F2017","seki","rana","sierrae"
