swab_id,site_id,latitude,longitude,date,fluidigm_run,main_locale,genus,species
RKS17412,Bullfrog_Basin,36.78444041,-118.4249238,8/1/14,F2017,seki,rana,muscosa
RKS5103,Cartridge_Basin,36.97755579,-118.4149819,8/23/07,F2017,seki,rana,muscosa
RKS16233,Center_Basin,36.6705167,-118.3057711,7/30/14,F2017,seki,rana,muscosa
RKS1874,Coyote_Basin,36.35891398,-118.3804385,8/19/05,F2017,seki,rana,muscosa
RKS11515,Forester_Basin,36.64901936,-118.3502248,9/11/10,F2017,seki,rana,muscosa
RKS1891,Laurel_Basin,36.3345537,-118.5355738,8/20/05,F2017,seki,rana,muscosa
DBS070,Lower Bullfrog Lake,36.48398069,-118.4956125,8/29/13,F2017,seki,rana,muscosa
RKS1747,Marion_Basin,37.01760041,-118.4743387,8/19/05,F2017,seki,rana,muscosa
RKS5546,Marjorie_Basin,37.04643939,-118.3603042,8/4/07,F2017,seki,rana,muscosa
RKS11593,McGee_Basin,37.09106426,-118.6284536,9/16/10,F2017,seki,rana,muscosa
RKS5063,Milestone_Basin,36.65360146,-118.4549628,9/3/07,F2017,seki,rana,muscosa
RKS11743,Mulkey_Meadows,36.34554278,-118.237715,7/9/11,F2017,seki,rana,muscosa
RKS5097,Muro_Blanco_Basin,37.01100111,-118.615328,8/21/07,F2017,seki,rana,muscosa
RKS13221,Rae_Basin,36.85029903,-118.4779878,8/29/11,F2017,seki,rana,muscosa
RKS3104,Reflection_Basin,36.76889209,-118.5545383,9/4/05,F2017,seki,rana,muscosa
RKS13423,Sixty_Lake_Basin,36.82080326,-118.5093805,8/30/11,F2017,seki,rana,muscosa
RKS17363,Spur_Basin,36.64218972,-118.4180261,7/31/14,F2017,seki,rana,muscosa
RKS5299,Striped_Basin,36.88501531,-118.3619527,7/8/07,F2017,seki,rana,muscosa
RKS12372,Tyndall_Basin,36.56021608,-118.3214137,8/11/11,F2017,seki,rana,muscosa
DBS058,Upper Bullfrog Lake,36.48480405,-118.6140182,8/29/13,F2017,seki,rana,muscosa
RKS5320,Upper_Basin,36.99669353,-118.410659,7/9/07,F2017,seki,rana,muscosa
RKS12464,Upper_Kern_Basin,36.64190409,-118.3880911,8/14/11,F2017,seki,rana,muscosa
RKS13904,Vidette_Basin,36.8254807,-118.3442677,6/21/12,F2017,seki,rana,muscosa
APR001,SNF,37.07381653,-119.1866678,NA,F2019_4,SNF,rana,muscosa
KLB15_030_S17,Dark_Canyon,33.86987332,-116.767901,2015,F2019_3,southern,rana,muscosa
KLB15_048_S13,Dark_Canyon,33.72778855,-116.6714412,2015,F2019_3,southern,rana,muscosa
KLB15_048_S18,Dark_Canyon,33.72559261,-116.6444043,2015,F2019_3,southern,rana,muscosa
MNW15_046_S10,Devils_Canyon_ANF,34.26840201,-117.8805697,2015,F2019_3,southern,rana,muscosa
MNW15_046_S7,Devils_Canyon_ANF,34.23653652,-117.9191939,2015,F2019_3,southern,rana,muscosa
