,swab_id,X,site_id,latitude,longitude,date,fluidigm_run,main_locale,genus,species,type,assign_k6,missing
1,RKS1014,1,1.1,38.08542674,-119.8354889,NA,F2016,yose,rana,sierrae,fl,5,0.417266
2,RKS1044,2,6,38.0645622,-119.4611354,NA,F2016,yose,rana,sierrae,fl,6,0.482014
3,RKS1126,3,2.1,38.08927054,-119.6988511,NA,F2016,yose,rana,sierrae,fl,5,0.503597
4,RKS1217,4,2.2,38.08442208,-119.6548753,NA,F2016,yose,rana,sierrae,fl,5,0.589928
5,RKS1293,5,5,38.06838454,-119.546759,NA,F2016,yose,rana,sierrae,fl,5,0.359712
6,RKS17525,6,7.2,37.98132714,-119.4740217,NA,F2016,yose,rana,sierrae,fl,3,0.338129
7,RKS2803,7,14,37.77750456,-119.3634977,NA,F2016,yose,rana,sierrae,fl,6,0.438849
8,RKS5758,8,16,37.70929962,-119.4333706,NA,F2016,yose,rana,sierrae,fl,3,0.460432
9,RKS5940,9,3,38.1122642,-119.649078,NA,F2016,yose,rana,sierrae,fl,5,0.546763
10,RKS8779,10,18.1,37.62334184,-119.4076522,NA,F2016,yose,rana,sierrae,fl,6,0.532374
11,TP40,11,20,37.67380327,-119.6514642,NA,F2016,yose,rana,sierrae,fl,3,0.294964
12,TP60,12,20.1,37.69157921,-119.6619401,NA,F2016,yose,rana,sierrae,fl,6,0.395683
13,TP64,13,19.5,37.61121808,-119.5762459,NA,F2016,yose,rana,sierrae,fl,6,0.330935
14,APR009,14,SNF,37.084791,-119.187592,NA,F2019_4,SNF,rana,sierrae,fl,6,0.453237
15,APR031,15,Silver_Headwaters,38.38981,-119.613584,7/5/18,F2019_3,htynf,rana,sierrae,fl,5,0.589928
16,CDS10009,16,50178,38.59573142,-119.8868013,30-Jun-10,F2019_2,cdfw_north,rana,sierrae,fl,5,0.496403
17,GES10014,17,14590,38.6685062,-120.0275014,11-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.388489
18,GES10023,18,15145,38.51869529,-119.9811496,15-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.417266
19,GES10026,19,14607,38.66182973,-119.9728773,18-Jul-10,F2019_1,cdfw_north,rana,sierrae,fl,5,0.446043
